"strName","strCAS","Source","Type","numValue","strHyperlink","strDateAssessed","strReference","POD.type","numPOD","numBMD","BMR.Type","strCriticalEffect","numUF","numUFa","numUFh","numUFs","numUFl","numUFd","numUFother","Species","Strain","numBW","Route","Organ","Effect","tblEffect_strSex","DR.Type","strEffectPOD","intAnimalsControl","intAnimalsAffectedControl","numMeanResponseControl","numSDResponseControl","CV.Type","RfDEndpoint","UFEndpoint"
"Carbon Tetrachloride",56235,"IRIS","RfD (mg/kg/day)",0.004,"http://www.epa.gov/iris/subst/0020.htm","3/31/2010","Bruckner, JV; MacKenzie, WF; Muralidhara, S; et al. (1986) Oral toxicity of carbon tetrachloride: acute, subacute and subchronic studies in rats. Fundam Appl Toxicol 6:16-34.","BMDL",3.9,5.228571429,"2-fold RD","Elevated serum SDH activity",1000,10,10,3,1,3,NA,"Rat","Sprague-Dawley",NA,"Oral gavage","liver","clinical chemistry","Both","Continuous","Elevated serum SDH activity",NA,NA,3.2,0.4,"SE",0.012,333.333333333333
"Carboxin",5234684,"IRIS","RfD (mg/kg/day)",0.1,"http://www.epa.gov/iris/subst/0022.htm","7/1/1989","Uniroyal Chemical. 1969a. MRID No. 00003031, 00021628. Available from EPA. Write to FOI, EPA, Washington D.C. 20460.","NOEL",10,NA,NA,"Reduced weight gain, organ weight changes, increased mortality",100,10,10,1,1,1,NA,"Rat","CRL/CD",NA,"Oral diet","systemic","mortality/survival","Both","Dichotomous","increased mortality",NA,NA,NA,NA,"",0.1,100
"Carboxin",5234684,"IRIS","RfD (mg/kg/day)",0.1,"http://www.epa.gov/iris/subst/0022.htm","7/1/1989","Uniroyal Chemical. 1969a. MRID No. 00003031, 00021628. Available from EPA. Write to FOI, EPA, Washington D.C. 20460.","NOEL",10,NA,NA,"Reduced weight gain, organ weight changes, increased mortality",100,10,10,1,1,1,NA,"Rat","CRL/CD",NA,"Oral diet","systemic","body weight","Both","Continuous","Reduced weight gain",NA,NA,NA,NA,"",0.1,100
"Carboxin",5234684,"IRIS","RfD (mg/kg/day)",0.1,"http://www.epa.gov/iris/subst/0022.htm","7/1/1989","Uniroyal Chemical. 1969a. MRID No. 00003031, 00021628. Available from EPA. Write to FOI, EPA, Washington D.C. 20460.","NOEL",10,NA,NA,"Reduced weight gain, organ weight changes, increased mortality",100,10,10,1,1,1,NA,"Rat","CRL/CD",NA,"Oral diet","spleen","organ weight","Both","Continuous","organ weight changes",NA,NA,NA,NA,"",0.1,100
"Carboxin",5234684,"IRIS","RfD (mg/kg/day)",0.1,"http://www.epa.gov/iris/subst/0022.htm","7/1/1989","Uniroyal Chemical. 1969a. MRID No. 00003031, 00021628. Available from EPA. Write to FOI, EPA, Washington D.C. 20460.","NOEL",10,NA,NA,"Reduced weight gain, organ weight changes, increased mortality",100,10,10,1,1,1,NA,"Rat","CRL/CD",NA,"Oral diet","heart","organ weight","Both","Continuous","organ weight changes",NA,NA,NA,NA,"",0.1,100
"Carboxin",5234684,"IRIS","RfD (mg/kg/day)",0.1,"http://www.epa.gov/iris/subst/0022.htm","7/1/1989","Uniroyal Chemical. 1969a. MRID No. 00003031, 00021628. Available from EPA. Write to FOI, EPA, Washington D.C. 20460.","NOEL",10,NA,NA,"Reduced weight gain, organ weight changes, increased mortality",100,10,10,1,1,1,NA,"Rat","CRL/CD",NA,"Oral diet","kidneys","organ weight","Both","Continuous","organ weight changes",NA,NA,NA,NA,"",0.1,100
"Carfentrazone-ethyl",128639021,"OPP","Chronic RfD (mg/kg/day)",0.03,"http://iaspub.epa.gov/apex/pesticides/f?p=CHEMICALSEARCH:21:0::NO:101,21:P21_NAME_VAL,P21_CODE_VAL,P21_SHOW_ALL_VAL,P21_IS_SHOW,P21_SMILES,P21_TOLERANCE,P21_IDENTICAL_STRUCTURE,P21_SUB_SUPER,P21_STEREOCHEMISTRY,P21_IDENTITY_ACTIVE,P21_SUBSUPERSTRUCT_ACTIVE,P21_MATCH_OTHER:\\,128639-02-1","7/14/2006","Hill, R.; Wright, J.; Allan, C. Et Al. (1995) F8426 Technical: 104 Week Oral (Dietary) Combined Carcinogenicity And Chronic Toxicity Study In The Rat: Lab Project Number: Fja/1/95: A92-3707: Fja/1/C. Unpublished Study Prepared By Toxicol Labs. Ltd. 2782 P. MRID 44076501","NOAEL",3,NA,NA,"liver histopathology (increases in microscopic red fluorescence

and pigmentation) and increased urinary porphyrin levels (NOEL for females)",100,10,10,1,1,1,NA,"Rat","Sprague-Dawley",NA,"Oral diet","liver","nonneoplastic histopathology","Both","","nonneoplastic histopathology",NA,NA,NA,NA,"",0.03,100
"Carfentrazone-ethyl",128639021,"OPP","Chronic RfD (mg/kg/day)",0.03,"http://iaspub.epa.gov/apex/pesticides/f?p=CHEMICALSEARCH:21:0::NO:101,21:P21_NAME_VAL,P21_CODE_VAL,P21_SHOW_ALL_VAL,P21_IS_SHOW,P21_SMILES,P21_TOLERANCE,P21_IDENTICAL_STRUCTURE,P21_SUB_SUPER,P21_STEREOCHEMISTRY,P21_IDENTITY_ACTIVE,P21_SUBSUPERSTRUCT_ACTIVE,P21_MATCH_OTHER:\\,128639-02-1","7/14/2006","Hill, R.; Wright, J.; Allan, C. Et Al. (1995) F8426 Technical: 104 Week Oral (Dietary) Combined Carcinogenicity And Chronic Toxicity Study In The Rat: Lab Project Number: Fja/1/95: A92-3707: Fja/1/C. Unpublished Study Prepared By Toxicol Labs. Ltd. 2782 P. MRID 44076501","NOAEL",3,NA,NA,"liver histopathology (increases in microscopic red fluorescence

and pigmentation) and increased urinary porphyrin levels (NOEL for females)",100,10,10,1,1,1,NA,"Rat","Sprague-Dawley",NA,"Oral diet","urinary tract","clinical chemistry","Both","","clinical chemistry",NA,NA,NA,NA,"",0.03,100
"Chloramine",10599903,"IRIS","RfD (mg/kg/day)",0.1,"http://www.epa.gov/iris/subst/0644.htm","3/1/1994","NTP (National Toxicology Program). 1992. Toxicology and Carcinogenesis Studies of Chlorinated and Chloraminated Water (CAS Nos. 7782-50-5, 7681-52-9 and 10599-90-3) in F344/N Rats and B6C3F1 Mice (drinking water studies). NTP TR 392.","NOAEL",9.5,NA,NA,"No observed effects",100,10,10,1,1,1,NA,"Rat","Fischer 344",NA,"Oral drinking water","none","none","Both","","No observed effects",NA,NA,NA,NA,"",0.1,100
"Chlordane",57749,"ATSDR","Chronic Oral MRL (mg/kg/day)",6e-04,"http://www.atsdr.cdc.gov/ToxProfiles/tp31.pdf","5/1994","Velsicol Chemical Co. 1983a. Thirty-month chronic toxicity and tumorigenicity test in rats by chlordane technical. Unpublished study by Research Institute for Animal Science in Biochemistry and Toxicology (RIASBT), Japan. (Cited in EPA 1985a, 1985b, EPA 1988b).



Khasawinah AM, Grutsch JF. 1989a. Chlordane thirty-month tumorigenicity and chronic toxicity test in rats. Regul Toxicol Pharmacol 10:95-109.","NOAEL",0.055,NA,NA,"hepatocellular hypertrophy females",100,10,10,1,1,1,NA,"Rat","Fischer 344",NA,"Oral diet","liver","gross pathology","F","Dichotomous","hepatocellular hypertrophy in females",37,2,NA,NA,"",6e-04,100
"Chlordane, technical grade",12789036,"IRIS","RfD (mg/kg/day)",5e-04,"http://www.epa.gov/iris/subst/0142.htm","2/7/1998","Khasawinah, A.M. and J.F. Grutsch. 1989a. Chlordane: 24-month tumorigenicity and chronic toxicity test in mice. Reg. Toxicol. Pharmacol. 10: 244-254.","NOAEL",0.15,NA,NA,"Hepatic Necrosis",300,10,10,1,1,3,NA,"Mouse","ICR",NA,"Oral diet","liver","nonneoplastic histopathology","M","Dichotomous","Hepatic Necrosis",80,7,NA,NA,"",0.0015,100
"Chlorethoxyfos",54593838,"OPP","Chronic RfD (mg/kg/day)",6e-04,"http://iaspub.epa.gov/apex/pesticides/f?p=CHEMICALSEARCH:21:0::NO:101,21:P21_NAME_VAL,P21_CODE_VAL,P21_SHOW_ALL_VAL,P21_IS_SHOW,P21_SMILES,P21_TOLERANCE,P21_IDENTICAL_STRUCTURE,P21_SUB_SUPER,P21_STEREOCHEMISTRY,P21_IDENTITY_ACTIVE,P21_SUBSUPERSTRUCT_ACTIVE,P21_MATCH_OTHER:\\,54593-83-8","2006","MRID 41736833Malley, L. (1989) Chronic Toxicity Study with IN 43898: One Year Feeding Study in Dogs: Lab Project Number: 216-89: 8314-001. Unpublished study prepared by E. I. du Pont de Nemours and Co., Inc. 766 p.



MRID 40898703 Malley, L. (1988) Subchronic Oral Toxicity: 90-Day Study with IN 43898 Feeding Study in Dogs: Project ID; Haskell Laboratory Report No. 189-88. Unpublished study prepared by E.I. du Pont de Nemours & Co., Inc. 353 p.



MRID 42559221 Atkinson, J.; Auletta, C. (1992) Subchronic Oral Toxicity: Six-month Ocular Study with DPX-43898 (Fortress Technical) Feeding Study in Dogs: Final Report: Lab Project Number: 91-3718: HLO 432-92. Unpublished study prepared by DuPont. 531 p.","NOAEL",0.06,NA,NA,"Overall (plasma, red blood cell and/or brain) cholinesterase inhibition following subchronic and chronic exposures",100,10,10,1,1,1,NA,"Dog","",NA,"Oral diet","systemic","neurotransmitter","Both","","neurotransmitter",NA,NA,NA,NA,"",6e-04,100
"Chlorfenvinphos",470906,"ATSDR","Chronic Oral MRL (mg/kg/day)",7e-04,"http://www.atsdr.cdc.gov/ToxProfiles/tp83.pdf","9/1997","Ambrose AM, Larson PS, Borzelleca JF, Hennigar GR. 1970. Toxicologic studies on diethyl-1-(2,4-dichlorophenyl)-2-chlorovinyl phosphate. Toxicology and Applied Pharmacology, 17:323-336.","LOAEL",0.7,NA,NA,"45% inhibition of plasma cholinesterase activity; 33% inhibition of erythrocyte cholinesterase activity",1000,10,10,1,10,1,NA,"Rat","Wistar",NA,"Oral diet","blood","neurotransmitter","Both","","neurotransmitter",NA,NA,NA,NA,"",7e-04,1000
"Chlorflurenol Methyl Ester",37339610,"OPP","Chronic RfD (mg/kg/day)",0.1,"http://www.epa.gov/oppsrrd1/REDs/chlorflurenol_red.pdf","3/29/2007","MRID 0082863 Frohberg, H., A. Metallinos, H. Pies, et al. 1975. Chronic Toxicity Test with IT 3456 in Beagle Dogs: Administration with the Food over a Period of Two Years. (Translation; unpublished study received Apr 25, 1978 under 21137-EX-3; prepared by E. Merck, West Germany, submitted by EM Laboratories, Inc., Elms- ford, N.Y.; CDL:097056-A)","NOAEL",31,NA,NA,"decreased erythrocyte, hemoglobin and hematocrit starting at 4 weeks",300,10,10,1,1,3,NA,"Dog","Beagle",NA,"Oral diet","blood","hematology","Both","","hematology",NA,NA,NA,NA,"",0.3,100
"Chlorimuron-Ethyl",90982324,"OPP","Chronic RfD (mg/kg/day)",0.09,"http://iaspub.epa.gov/apex/pesticides/f?p=CHEMICALSEARCH:21:0::NO:101,21:P21_NAME_VAL,P21_CODE_VAL,P21_SHOW_ALL_VAL,P21_IS_SHOW,P21_SMILES,P21_TOLERANCE,P21_IDENTICAL_STRUCTURE,P21_SUB_SUPER,P21_STEREOCHEMISTRY,P21_IDENTITY_ACTIVE,P21_SUBSUPERSTRUCT_ACTIVE,P21_MATCH_OTHER:\\,90982-32-4","8/31/04","Primary source?","NOAEL",9,NA,NA,"mild anemia",100,10,10,1,1,1,NA,"Dog","",NA,"Oral diet","blood","hematology","","","hematology",NA,NA,NA,NA,"",0.09,100
"Chlorimuron-Ethyl",90982324,"IRIS","RfD (mg/kg/day)",0.02,"http://www.epa.gov/iris/subst/0406.htm","11/1/1989","E.I. duPont de Nemours and Company, Inc. 1985. MRID No. 00149579. Available from EPA. Write to FOI, EPA, Washington, DC 20460.","NOEL",6.25,NA,NA,"Increase in WBC, decreased in RBC in females, increase in alkaline phosphatase in males",300,10,10,1,1,3,NA,"Dog","Beagle",NA,"Oral diet","liver","clinical chemistry","M","Continuous","increase in alkaline phosphatase",NA,NA,NA,NA,"",0.06,100
"Chlorimuron-Ethyl",90982324,"IRIS","RfD (mg/kg/day)",0.02,"http://www.epa.gov/iris/subst/0406.htm","11/1/1989","E.I. duPont de Nemours and Company, Inc. 1985. MRID No. 00149579. Available from EPA. Write to FOI, EPA, Washington, DC 20460.","NOEL",6.25,NA,NA,"Increase in WBC, decreased in RBC in females, increase in alkaline phosphatase in males",300,10,10,1,1,3,NA,"Dog","Beagle",NA,"Oral diet","blood","hematology","F","Continuous","Increase in WBC, decreased in RBC in females",NA,NA,NA,NA,"",0.06,100
"Chlorine",7782505,"IRIS","RfD (mg/kg/day)",0.1,"http://www.epa.gov/iris/subst/0405.htm","6/1/1994","NTP (National Toxicology Program). 1992. NTP Technical Report on the Toxicology and Carcinogenesis Studies of Chlorinated and Chloraminated Water in F344/N Rats and B6C3F1 Mice (drinking water studies). U.S. Dept. of Health and Human Services. NTP TR 392.","NOAEL",14.4,NA,NA,"No observed adverse effects",100,10,10,1,1,1,NA,"Rat","Fischer 344",NA,"Oral drinking water","none","none","Both","Continuous","No observed adverse effects",NA,NA,NA,NA,"",0.1,100
"Chlorine dioxide",10049044,"IRIS","RfD (mg/kg/day)",0.03,"http://www.epa.gov/iris/subst/0496.htm","10/12/2000","CMA (Chemical Manufacturers Association). (1996) Sodium chlorite: drinking water rat two-generation reproductive toxicity study. Quintiles Report Ref. CMA/17/96.","NOAEL",3,NA,NA,"Neurodevelopmental effects",100,10,10,1,1,1,NA,"Rat","Sprague-Dawley",NA,"Oral drinking water","CNS","development","Both","Dichotomous","Neurodevelopmental effects",NA,NA,NA,NA,"",0.03,100
"Chlormequat chloride",999815,"OPP","Chronic RfD (mg/kg/day)",0.05,"http://iaspub.epa.gov/apex/pesticides/f?p=CHEMICALSEARCH:21:0::NO:101,21:P21_NAME_VAL,P21_CODE_VAL,P21_SHOW_ALL_VAL,P21_IS_SHOW,P21_SMILES,P21_TOLERANCE,P21_IDENTICAL_STRUCTURE,P21_SUB_SUPER,P21_STEREOCHEMISTRY,P21_IDENTITY_ACTIVE,P21_SUBSUPERSTRUCT_ACTIVE,P21_MATCH_OTHER:\\,999-81-5","August 2006","MRID 46715201 Mellert, W. (1993) Report on the Study of the Toxicity of Chlormequat-Chloride in Beagle Dogs Administration via the Diet over 12 Months. Project Number: 33D0580/87120, 1993/11109. Unpublished study prepared by BASF Aktiengesellschaft, Labor fuer Oekotoxicologie. 879 p","NOAEL",5,NA,NA,"salivation (1 week post-dosing, both

sexes), vomiting (females), diarrhea (males),

and decreased body weight gain (males)",100,10,10,1,1,1,NA,"Dog","Beagle",NA,"Oral diet","PNS","clinical signs","Both","","clinical signs",NA,NA,NA,NA,"",0.05,100
"Chlormequat chloride",999815,"OPP","Chronic RfD (mg/kg/day)",0.05,"http://iaspub.epa.gov/apex/pesticides/f?p=CHEMICALSEARCH:21:0::NO:101,21:P21_NAME_VAL,P21_CODE_VAL,P21_SHOW_ALL_VAL,P21_IS_SHOW,P21_SMILES,P21_TOLERANCE,P21_IDENTICAL_STRUCTURE,P21_SUB_SUPER,P21_STEREOCHEMISTRY,P21_IDENTITY_ACTIVE,P21_SUBSUPERSTRUCT_ACTIVE,P21_MATCH_OTHER:\\,999-81-5","August 2006","MRID 46715201 Mellert, W. (1993) Report on the Study of the Toxicity of Chlormequat-Chloride in Beagle Dogs Administration via the Diet over 12 Months. Project Number: 33D0580/87120, 1993/11109. Unpublished study prepared by BASF Aktiengesellschaft, Labor fuer Oekotoxicologie. 879 p","NOAEL",5,NA,NA,"salivation (1 week post-dosing, both

sexes), vomiting (females), diarrhea (males),

and decreased body weight gain (males)",100,10,10,1,1,1,NA,"Dog","Beagle",NA,"Oral diet","systemic","body weight","M","","body weight",NA,NA,NA,NA,"",0.05,100
"Chlorobenzene",108907,"IRIS","RfD (mg/kg/day)",0.02,"http://www.epa.gov/iris/subst/0399.htm","7/1/1993","Monsanto Company. 1967a. 13-week oral administration - dogs. Monchlorobenzene. Final report. Prepared by Hazelton Laboratories, Project No. 241-105, February 24.



Knapp, W.K., W.M. Busey and W. Kundzins. 1971. Subacute oral toxicity of monochlorobenzene in dogs and rats. Toxicol. Appl. Pharmacol. 19: 393 (Abstract).","NOAEL",19,NA,NA,"Histopathologic changes in the liver",1000,10,10,10,1,1,NA,"Dog","Beagle",NA,"Oral - other","liver","nonneoplastic histopathology","Both","Dichotomous","Histopathologic changes in the liver",NA,NA,NA,NA,"",0.02,1000
"Chlorobenzilate",510156,"IRIS","RfD (mg/kg/day)",0.02,"http://www.epa.gov/iris/subst/0400.htm","12/1/1989","Ciba-Geigy Corporation. 1984a. MRID No. 00144691. Available from EPA. Write to FOI, EPA, Washington, DC 20460.","NOEL",5,NA,NA,"Decreased stool quantity, food consumption and body weight gains; hyperirritability (maternal)",300,10,10,1,1,3,NA,"Rabbit","New Zealand",NA,"Oral gavage","none","none","Both","","none",NA,NA,NA,NA,"",0.06,100
"Chlorobenzotrifluoride, 4-   ",98566,"PPRTV","RfD (mg/kg/day)",0.003,"http://hhpprtv.ornl.gov/issue_papers/Chlorobenzotrifluoride4.pdf","2007","Macri, A., C. Ricciardi, A.V. Stazi et al. 1987. Subchronic oral toxicity of 4-chloro-α-α-α-trifluorotoluene in Sprague-Dawley rats. Food Chem. Toxicol. 25(10):781-786.","BMDL",8.8,15.1,"1SD","changes in serum cholesterol and serum triglycerides",3000,10,10,10,1,3,NA,"Rat","Sprague-Dawley",NA,"Oral gavage","liver","clinical chemistry","M","Continuous","serum cholesterol",6,NA,56.5,7.5,"SD",0.009,1000
"Chlorobenzotrifluoride, 4-   ",98566,"PPRTV","RfD (mg/kg/day)",0.003,"http://hhpprtv.ornl.gov/issue_papers/Chlorobenzotrifluoride4.pdf","2007","Macri, A., C. Ricciardi, A.V. Stazi et al. 1987. Subchronic oral toxicity of 4-chloro-α-α-α-trifluorotoluene in Sprague-Dawley rats. Food Chem. Toxicol. 25(10):781-786.","BMDL",8.8,15.1,"1SD","changes in serum cholesterol and serum triglycerides",3000,10,10,10,1,3,NA,"Rat","Sprague-Dawley",NA,"Oral gavage","liver","clinical chemistry","M","Continuous","serum triglycerides",6,NA,33.5,6.05,"SD",0.009,1000
"Chloroform",67663,"IRIS","RfD (mg/kg/day)",0.01,"http://www.epa.gov/iris/subst/0025.htm","10/19/2001","Heywood, R; Sortwell, RJ; Noel, PRB; et al. (1979) Safety evaluation of toothpaste containing chloroform: III. Long-term study in beagle dogs. J Environ Pathol Toxicol 2:835-851.","BMDL",1,1.7,"10% ER","Moderate/marked fatty cyst formation in the liver and elevated SGPT",100,10,10,1,1,1,NA,"Dog","Beagle",NA,"Oral - other","liver","nonneoplastic histopathology","Both","Dichotomous","BMD dataset for moderate/marked fatty cyst formation in the liver (male and female dogs combined; same data as shown under LOAEL)",27,1,NA,NA,"",0.01,100
"Chloroform",67663,"IRIS","RfD (mg/kg/day)",0.01,"http://www.epa.gov/iris/subst/0025.htm","10/19/2001","Heywood, R; Sortwell, RJ; Noel, PRB; et al. (1979) Safety evaluation of toothpaste containing chloroform: III. Long-term study in beagle dogs. J Environ Pathol Toxicol 2:835-851.","LOAEL",12.9,NA,NA,"Moderate/marked fatty cyst formation in the liver and elevated SGPT",1000,10,10,1,10,1,NA,"Dog","Beagle",NA,"Other","liver","nonneoplastic histopathology","F","Dichotomous","Moderate/marked fatty cyst formation in the liver",12,0,NA,NA,"",0.01,1000
"Chloroform",67663,"IRIS","RfD (mg/kg/day)",0.01,"http://www.epa.gov/iris/subst/0025.htm","10/19/2001","Heywood, R; Sortwell, RJ; Noel, PRB; et al. (1979) Safety evaluation of toothpaste containing chloroform: III. Long-term study in beagle dogs. J Environ Pathol Toxicol 2:835-851.","LOAEL",12.9,NA,NA,"Moderate/marked fatty cyst formation in the liver and elevated SGPT",1000,10,10,1,10,1,NA,"Dog","Beagle",NA,"Other","liver","nonneoplastic histopathology","M","Dichotomous","Moderate/marked fatty cyst formation in the liver",15,1,NA,NA,"",0.01,1000
"Chloroform",67663,"IRIS","RfD (mg/kg/day)",0.01,"http://www.epa.gov/iris/subst/0025.htm","10/19/2001","Heywood, R; Sortwell, RJ; Noel, PRB; et al. (1979) Safety evaluation of toothpaste containing chloroform: III. Long-term study in beagle dogs. J Environ Pathol Toxicol 2:835-851.","LOAEL",12.9,NA,NA,"Moderate/marked fatty cyst formation in the liver and elevated SGPT",1000,10,10,1,10,1,NA,"Dog","Beagle",NA,"Other","liver","clinical chemistry","Both","Continuous","elevated SGPT",NA,NA,NA,NA,"",0.01,1000
"Chloroneb",2675776,"OPP","Chronic RfD (mg/kg/day)",0.013,"http://iaspub.epa.gov/apex/pesticides/f?p=CHEMICALSEARCH:21:0::NO:101,21:P21_NAME_VAL,P21_CODE_VAL,P21_SHOW_ALL_VAL,P21_IS_SHOW,P21_SMILES,P21_TOLERANCE,P21_IDENTICAL_STRUCTURE,P21_SUB_SUPER,P21_STEREOCHEMISTRY,P21_IDENTITY_ACTIVE,P21_SUBSUPERSTRUCT_ACTIVE,P21_MATCH_OTHER:\\,2675-77-6","09/2005","MRID 1421: Busey, W.M.; Kundzins, W. (1967) Two Year Dietary Feeding--Dogs: Fungicide 1823: Final Report: Project No. 201-125. (Unpublished study received Jul 8, 1968 under 8F0657; prepared by Hazleton Laboratories, Inc., submitted by E.I. du Pont de Nemours & Co., Inc., Wilmington, Del.; CDL:091147-A)","NOAEL",12.5,NA,NA,"body weight loss, increased absolute and relative liver weight, increased alanine aminotransferase (ALT) and/or alkaline phosphates, hepatocyte pigmentation, moderate thyroid activity",1000,10,10,1,1,10,NA,"Dog","",NA,"Oral diet","systemic","body weight","Both","","body weight",NA,NA,NA,NA,"",0.13,100
"Chloroneb",2675776,"OPP","Chronic RfD (mg/kg/day)",0.013,"http://iaspub.epa.gov/apex/pesticides/f?p=CHEMICALSEARCH:21:0::NO:101,21:P21_NAME_VAL,P21_CODE_VAL,P21_SHOW_ALL_VAL,P21_IS_SHOW,P21_SMILES,P21_TOLERANCE,P21_IDENTICAL_STRUCTURE,P21_SUB_SUPER,P21_STEREOCHEMISTRY,P21_IDENTITY_ACTIVE,P21_SUBSUPERSTRUCT_ACTIVE,P21_MATCH_OTHER:\\,2675-77-6","09/2005","MRID 1421: Busey, W.M.; Kundzins, W. (1967) Two Year Dietary Feeding--Dogs: Fungicide 1823: Final Report: Project No. 201-125. (Unpublished study received Jul 8, 1968 under 8F0657; prepared by Hazleton Laboratories, Inc., submitted by E.I. du Pont de Nemours & Co., Inc., Wilmington, Del.; CDL:091147-A)","NOAEL",12.5,NA,NA,"body weight loss, increased absolute and relative liver weight, increased alanine aminotransferase (ALT) and/or alkaline phosphates, hepatocyte pigmentation, moderate thyroid activity",1000,10,10,1,1,10,NA,"Dog","",NA,"Oral diet","thyroid","multiple","Both","","multiple",NA,NA,NA,NA,"",0.13,100
"Chloroneb",2675776,"OPP","Chronic RfD (mg/kg/day)",0.013,"http://iaspub.epa.gov/apex/pesticides/f?p=CHEMICALSEARCH:21:0::NO:101,21:P21_NAME_VAL,P21_CODE_VAL,P21_SHOW_ALL_VAL,P21_IS_SHOW,P21_SMILES,P21_TOLERANCE,P21_IDENTICAL_STRUCTURE,P21_SUB_SUPER,P21_STEREOCHEMISTRY,P21_IDENTITY_ACTIVE,P21_SUBSUPERSTRUCT_ACTIVE,P21_MATCH_OTHER:\\,2675-77-6","09/2005","MRID 1421: Busey, W.M.; Kundzins, W. (1967) Two Year Dietary Feeding--Dogs: Fungicide 1823: Final Report: Project No. 201-125. (Unpublished study received Jul 8, 1968 under 8F0657; prepared by Hazleton Laboratories, Inc., submitted by E.I. du Pont de Nemours & Co., Inc., Wilmington, Del.; CDL:091147-A)","NOAEL",12.5,NA,NA,"body weight loss, increased absolute and relative liver weight, increased alanine aminotransferase (ALT) and/or alkaline phosphates, hepatocyte pigmentation, moderate thyroid activity",1000,10,10,1,1,10,NA,"Dog","",NA,"Oral diet","liver","organ weight","Both","","increased absolute and relative liver weight",NA,NA,NA,NA,"",0.13,100
"Chloroneb",2675776,"OPP","Chronic RfD (mg/kg/day)",0.013,"http://iaspub.epa.gov/apex/pesticides/f?p=CHEMICALSEARCH:21:0::NO:101,21:P21_NAME_VAL,P21_CODE_VAL,P21_SHOW_ALL_VAL,P21_IS_SHOW,P21_SMILES,P21_TOLERANCE,P21_IDENTICAL_STRUCTURE,P21_SUB_SUPER,P21_STEREOCHEMISTRY,P21_IDENTITY_ACTIVE,P21_SUBSUPERSTRUCT_ACTIVE,P21_MATCH_OTHER:\\,2675-77-6","09/2005","MRID 1421: Busey, W.M.; Kundzins, W. (1967) Two Year Dietary Feeding--Dogs: Fungicide 1823: Final Report: Project No. 201-125. (Unpublished study received Jul 8, 1968 under 8F0657; prepared by Hazleton Laboratories, Inc., submitted by E.I. du Pont de Nemours & Co., Inc., Wilmington, Del.; CDL:091147-A)","NOAEL",12.5,NA,NA,"body weight loss, increased absolute and relative liver weight, increased alanine aminotransferase (ALT) and/or alkaline phosphates, hepatocyte pigmentation, moderate thyroid activity",1000,10,10,1,1,10,NA,"Dog","",NA,"Oral diet","liver","clinical chemistry","Both","","increased alanine aminotransferase (ALT) and/or alkaline phosphates",NA,NA,NA,NA,"",0.13,100
"Chloroneb",2675776,"OPP","Chronic RfD (mg/kg/day)",0.013,"http://iaspub.epa.gov/apex/pesticides/f?p=CHEMICALSEARCH:21:0::NO:101,21:P21_NAME_VAL,P21_CODE_VAL,P21_SHOW_ALL_VAL,P21_IS_SHOW,P21_SMILES,P21_TOLERANCE,P21_IDENTICAL_STRUCTURE,P21_SUB_SUPER,P21_STEREOCHEMISTRY,P21_IDENTITY_ACTIVE,P21_SUBSUPERSTRUCT_ACTIVE,P21_MATCH_OTHER:\\,2675-77-6","09/2005","MRID 1421: Busey, W.M.; Kundzins, W. (1967) Two Year Dietary Feeding--Dogs: Fungicide 1823: Final Report: Project No. 201-125. (Unpublished study received Jul 8, 1968 under 8F0657; prepared by Hazleton Laboratories, Inc., submitted by E.I. du Pont de Nemours & Co., Inc., Wilmington, Del.; CDL:091147-A)","NOAEL",12.5,NA,NA,"body weight loss, increased absolute and relative liver weight, increased alanine aminotransferase (ALT) and/or alkaline phosphates, hepatocyte pigmentation, moderate thyroid activity",1000,10,10,1,1,10,NA,"Dog","",NA,"Oral diet","liver","nonneoplastic histopathology","Both","","hepatocyte pigmentation",NA,NA,NA,NA,"",0.13,100
"Chloronitrobenzene, o-   ",88733,"PPRTV","RfD (mg/kg/day)",0.003,"http://hhpprtv.ornl.gov/issue_papers/Chloronitrobenzeneo.pdf","2009","Matsumoto, M., Y. Umeda, H. Arito, K. Nagano, S. Yamamoto and T. Matsushima. 2006a. Thirteen-week oral toxicity study of para- and ortho-chloronitrobenzene in rats and mice. J. Toxicol. Sci. 31(1):9-22. Online. Http://www.jstage.jst.go.jp/article/jts/31/1/9/_pdf.","BMDL",0.3,0.672183,"10% ER","chronic progressive nephropathy",100,10,10,1,1,1,NA,"Rat","Fischer 344",NA,"Oral diet","kidneys","nonneoplastic histopathology","F","Dichotomous","chronic progressive nephropathy",50,20,NA,NA,"",0.003,100
"Chloronitrobenzene, p-   ",100005,"PPRTV","RfD (mg/kg/day)",0.001,"http://hhpprtv.ornl.gov/issue_papers/Chloronitrobenzenep.pdf","2008","Bio/Dynamics, Inc. 1985. A chronic oral gavage study in rats with p-nitrochlorobenzene. Produced 6/26/85. Submitted 5/17/94 by Monsanto to U.S. EPA under TSCA Section 8D. EPA Doc. No. 86940000678. Fiche No. OTS0557088. TSCATS 442558.","NOAEL",0.1,NA,NA,"effects on erythrocytes (methemoglobinemia)",100,10,10,1,1,1,NA,"Rat","CD",NA,"Oral gavage","systemic","hematology","F","Continuous","methemoglobinemia",10,NA,0.4,0.2,"SD",0.001,100
